direction_group,layer,seed,signal_scale,sae_latents,l1_coef,condition,mean_recovery,median_recovery,min_recovery,max_recovery,frac_recovered,mean_snr
weak,4,2,0.005,2048,0.001,random_pair_delta_control,0.059656407816845,0.05735050261751533,0.05029423655456737,0.07199991176914969,0.0,3.4219999999999997
weak,4,0,0.01,512,0.001,standard_L1_K512_mixed,0.05434091023996013,0.052751158498412706,0.04576284021902165,0.07600625206578347,0.0,3.4219999999999997
weak,4,0,0.01,512,0.001,topK20_K512_mixed,0.056301620846377166,0.05531111930491772,0.036326030335439616,0.07821996913157603,0.0,3.4219999999999997
weak,4,0,0.01,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.01,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.01,512,0.001,random_pair_delta_control,0.05479484907334835,0.05171652773469557,0.04481874107806052,0.07313096414295549,0.0,3.4219999999999997
weak,4,1,0.01,512,0.001,standard_L1_K512_mixed,0.05324397463879556,0.05099420259829275,0.04443400321739307,0.06232612057521442,0.0,3.4219999999999997
weak,4,1,0.01,512,0.001,topK20_K512_mixed,0.05258930962842721,0.05379090828384178,0.042290819599857706,0.0586098647278691,0.0,3.4219999999999997
weak,4,1,0.01,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.01,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.01,512,0.001,random_pair_delta_control,0.055933602803290274,0.05560097786075894,0.04773219223114514,0.06863779797568494,0.0,3.4219999999999997
weak,4,2,0.01,512,0.001,standard_L1_K512_mixed,0.05232711675088555,0.04963408468308449,0.043407509047422944,0.0766790817435711,0.0,3.4219999999999997
weak,4,2,0.01,512,0.001,topK20_K512_mixed,0.053757693935768125,0.053287718835690785,0.04110733635991186,0.0802936480279514,0.0,3.4219999999999997
weak,4,2,0.01,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.01,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.01,512,0.001,random_pair_delta_control,0.05085745282315736,0.04918113626726751,0.04486318853003272,0.06171376180040105,0.0,3.4219999999999997
weak,4,0,0.01,2048,0.001,standard_L1_K2048_mixed,0.05864650666657227,0.056683655259081304,0.05018194881391707,0.07315043016363962,0.0,3.4219999999999997
weak,4,0,0.01,2048,0.001,topK20_K2048_mixed,0.059885848458126514,0.05783525684586732,0.05202963295423249,0.07121249398839115,0.0,3.4219999999999997
weak,4,0,0.01,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.01,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.01,2048,0.001,random_pair_delta_control,0.057687414659043534,0.058710199384953074,0.042962238073339196,0.07212556509426239,0.0,3.4219999999999997
weak,4,1,0.01,2048,0.001,standard_L1_K2048_mixed,0.0629295270782517,0.06320738195812553,0.05053251980327044,0.07072414975658751,0.0,3.4219999999999997
weak,4,1,0.01,2048,0.001,topK20_K2048_mixed,0.05330919780820007,0.0556415920412344,0.039829309825394295,0.05928413483722145,0.0,3.4219999999999997
weak,4,1,0.01,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.01,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.01,2048,0.001,random_pair_delta_control,0.06564610813861442,0.06432883414521129,0.053118032396818164,0.07711071924586171,0.0,3.4219999999999997
weak,4,2,0.01,2048,0.001,standard_L1_K2048_mixed,0.058301682929707874,0.05682282041500315,0.051736780984009516,0.0698008646470094,0.0,3.4219999999999997
weak,4,2,0.01,2048,0.001,topK20_K2048_mixed,0.05912429642190135,0.057139281671036546,0.04751232473356918,0.07551654674173394,0.0,3.4219999999999997
weak,4,2,0.01,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.01,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.01,2048,0.001,random_pair_delta_control,0.06054601425374758,0.05743894350917196,0.051797354168939526,0.07617804526751636,0.0,3.4219999999999997
weak,4,0,0.02,512,0.001,standard_L1_K512_mixed,0.05416391101494141,0.0535693534652529,0.04469489809322053,0.07610005907924487,0.0,3.4219999999999997
weak,4,0,0.02,512,0.001,topK20_K512_mixed,0.05259349304947497,0.05418344598907364,0.03847326074852859,0.05761737513359805,0.0,3.4219999999999997
weak,4,0,0.02,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.02,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,0,0.02,512,0.001,random_pair_delta_control,0.054590395166074356,0.05133184284412917,0.0442202119749704,0.07431007242626157,0.0,3.4219999999999997
weak,4,1,0.02,512,0.001,standard_L1_K512_mixed,0.05290850765127712,0.0514387147191112,0.04504501833708934,0.06252607185692313,0.0,3.4219999999999997
weak,4,1,0.02,512,0.001,topK20_K512_mixed,0.0537905860391486,0.05356351301442585,0.0409367689717134,0.0717923596249946,0.0,3.4219999999999997
weak,4,1,0.02,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.02,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,1,0.02,512,0.001,random_pair_delta_control,0.05513327933648824,0.053842571532866285,0.047262113120871904,0.06851746905149025,0.0,3.4219999999999997
weak,4,2,0.02,512,0.001,standard_L1_K512_mixed,0.05235610165248825,0.04975374054631193,0.04318470087669492,0.07749393386668207,0.0,3.4219999999999997
weak,4,2,0.02,512,0.001,topK20_K512_mixed,0.05860604751666304,0.05514255293706824,0.05243639393139848,0.07532325368482864,0.0,3.4219999999999997
weak,4,2,0.02,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.02,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.4219999999999997
weak,4,2,0.02,512,0.001,random_pair_delta_control,0.051169727003246755,0.0501950974833317,0.04482377496677881,0.06181089054465034,0.0,3.4219999999999997
weak,4,0,0.02,2048,0.001,standard_L1_K2048_mixed,0.058913240945202804,0.056428045280523524,0.04939737234282974,0.07701970457825719,0.0,3.4219999999999997
weak,4,0,0.02,2048,0.001,topK20_K2048_mixed,0.06555390472724804,0.06585769926171203,0.05369415024780313,0.08106963367080591,0.0,3.4219999999999997
weak,4,0,0.02,2048,0.001,delta_K2048,0.957251175177704,0.9831794802315357,0.8509663393990512,0.9933691534356714,1.0,3.4219999999999997
weak,4,0,0.02,2048,0.001,random_label_control,0.037465407650172144,0.033271828654381844,0.018800240244205384,0.0701280247118772,0.0,3.4219999999999997
weak,4,0,0.02,2048,0.001,random_pair_delta_control,0.058365058752937515,0.06004682401858376,0.04530712969164128,0.0715418514396303,0.0,3.4219999999999997
weak,4,1,0.02,2048,0.001,standard_L1_K2048_mixed,0.06276909261784734,0.06290739590327368,0.05213123206996629,0.07358551766005246,0.0,3.4219999999999997
weak,4,1,0.02,2048,0.001,topK20_K2048_mixed,0.05846166942979295,0.05678500370974954,0.05331244926847123,0.07903819393930088,0.0,3.4219999999999997
weak,4,1,0.02,2048,0.001,delta_K2048,0.9761757649144662,0.9908018988144423,0.8592644740588812,0.9934652633948192,1.0,3.4219999999999997
weak,4,1,0.02,2048,0.001,random_label_control,0.03697589351876447,0.035160935702654585,0.02113591715226095,0.049220310117369555,0.0,3.4219999999999997
weak,4,1,0.02,2048,0.001,random_pair_delta_control,0.06621227327148735,0.06609398678342568,0.0510383502476096,0.07680845132847097,0.0,3.4219999999999997
weak,4,2,0.02,2048,0.001,standard_L1_K2048_mixed,0.05910515154772903,0.0568694432026529,0.053989657551023376,0.06999022187491126,0.0,3.4219999999999997
weak,4,2,0.02,2048,0.001,topK20_K2048_mixed,0.05678229120398509,0.05500116395637253,0.039517070598343564,0.0755760812011886,0.0,3.4219999999999997
