source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,std_L1,Your L1 mixed,random,4,2048.0,0.05,,0.13294734716415402,0.13155062645673749,0.1134676158428192,0.15985234379768368,0.0,30
internal,topK20,Your TopK mixed,random,4,512.0,0.05,,0.11824851711591082,0.11350851878523821,0.0943907722830772,0.1598017275333404,0.0,30
internal,topK20,Your TopK mixed,random,4,2048.0,0.05,,0.12747337097922956,0.12699117511510843,0.10723629891872402,0.14609257578849788,0.0,30
public_sae,public_sae,Public JB SAE,random,4,,,blocks.5.hook_resid_pre,0.14801652282476424,0.14660260826349258,0.13902318477630615,0.1699812114238739,0.0,10
internal,delta,Your paired delta,weak,8,512.0,0.05,,0.9603795138994852,0.9629182934761047,0.9192065238952637,0.9999541878700257,1.0,30
internal,delta,Your paired delta,weak,8,2048.0,0.05,,0.5428823737303416,0.5228484511375427,0.46294633150100706,0.6815284132957459,1.0,30
internal,rand_pair,Your random-pair,weak,8,512.0,0.05,,0.18655634055534995,0.18294190168380733,0.14663214087486262,0.2422889709472656,0.0,30
internal,rand_pair,Your random-pair,weak,8,2048.0,0.05,,0.17008454153935113,0.1698535621166229,0.14547266662120814,0.1937362134456634,0.0,30
internal,std_L1,Your L1 mixed,weak,8,512.0,0.05,,0.18235907802979148,0.18175397515296932,0.13745652139186854,0.22914787828922267,0.0,30
internal,std_L1,Your L1 mixed,weak,8,2048.0,0.05,,0.1575183072686195,0.16047840863466262,0.12920159697532646,0.19000951945781702,0.0,30
internal,topK20,Your TopK mixed,weak,8,512.0,0.05,,0.17262544780969616,0.17019960731267925,0.1397758454084396,0.21576980352401734,0.0,30
internal,topK20,Your TopK mixed,weak,8,2048.0,0.05,,0.1758171612024307,0.16728556901216501,0.1396543681621551,0.2516722619533539,0.0,30
public_sae,public_sae,Public JB SAE,weak,8,,,blocks.9.hook_resid_pre,0.27776993811130524,0.28579944372177124,0.18662631511688232,0.36695390939712524,0.4,10
internal,delta,Your paired delta,strong,8,512.0,0.05,,0.982411577966478,0.986087155342102,0.9613389253616333,0.9942443013191223,1.0,18
internal,delta,Your paired delta,strong,8,2048.0,0.05,,0.6588176806767782,0.6539534330368042,0.5381439447402954,0.7782353639602662,1.0,18
internal,rand_pair,Your random-pair,strong,8,512.0,0.05,,0.2406473105152448,0.24631034731864926,0.1805985271930694,0.301704454421997,0.05555555555555555,18
internal,rand_pair,Your random-pair,strong,8,2048.0,0.05,,0.19902974085675343,0.19912527799606317,0.15690818130969997,0.24317564368247985,0.0,18
internal,std_L1,Your L1 mixed,strong,8,512.0,0.05,,0.27727776053878994,0.27132252752780917,0.1883629769086837,0.3869269251823425,0.2777777777777778,18
internal,std_L1,Your L1 mixed,strong,8,2048.0,0.05,,0.2205869027309947,0.22134390324354167,0.17454855740070344,0.2892812609672546,0.0,18
internal,topK20,Your TopK mixed,strong,8,512.0,0.05,,0.29635947148005165,0.2863910883665085,0.15949836075305934,0.4287525713443756,0.4444444444444444,18
internal,topK20,Your TopK mixed,strong,8,2048.0,0.05,,0.26133102460039986,0.2637418359518051,0.19675301313400265,0.3416149020195007,0.2222222222222222,18
public_sae,public_sae,Public JB SAE,strong,8,,,blocks.9.hook_resid_pre,0.3618970414002736,0.35492612421512604,0.25755563378334045,0.4563028812408447,0.8333333333333334,6
