source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,5,random_5,0.11635481715202327
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,6,random_6,0.12643858492374416
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,7,random_7,0.1524540990591049
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,8,random_8,0.1285273730754852
internal,topK20,Your TopK mixed,random,8,1,0.05,2048,9,random_9,0.12610828578472133
internal,delta,Your paired delta,random,8,1,0.05,2048,0,random_0,0.5163920044898986
internal,delta,Your paired delta,random,8,1,0.05,2048,1,random_1,0.46878970265388487
internal,delta,Your paired delta,random,8,1,0.05,2048,2,random_2,0.572153115272522
internal,delta,Your paired delta,random,8,1,0.05,2048,3,random_3,0.5196727871894836
internal,delta,Your paired delta,random,8,1,0.05,2048,4,random_4,0.48954024314880373
internal,delta,Your paired delta,random,8,1,0.05,2048,5,random_5,0.6592507362365723
internal,delta,Your paired delta,random,8,1,0.05,2048,6,random_6,0.527185070514679
internal,delta,Your paired delta,random,8,1,0.05,2048,7,random_7,0.527430510520935
internal,delta,Your paired delta,random,8,1,0.05,2048,8,random_8,0.5037073493003845
internal,delta,Your paired delta,random,8,1,0.05,2048,9,random_9,0.4977835536003113
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,0,random_0,0.13427510857582087
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,1,random_1,0.10720501244068141
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,2,random_2,0.12129227370023724
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,3,random_3,0.12969137728214258
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,4,random_4,0.14278882741928098
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,5,random_5,0.117366187274456
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,6,random_6,0.14472481906414025
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,7,random_7,0.1194193229079246
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,8,random_8,0.12002186030149456
internal,rand_pair,Your random-pair,random,8,1,0.05,2048,9,random_9,0.13924359083175655
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,0,random_0,0.12020486742258067
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,1,random_1,0.09062924981117242
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,2,random_2,0.1213423818349838
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,3,random_3,0.11239547729492183
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,4,random_4,0.11251600384712215
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,5,random_5,0.1314599901437759
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,6,random_6,0.10979207605123516
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,7,random_7,0.12127432376146312
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,8,random_8,0.0873882412910461
internal,std_L1,Your L1 mixed,random,8,1,0.05,512,9,random_9,0.10397482663393016
internal,topK20,Your TopK mixed,random,8,1,0.05,512,0,random_0,0.11613651663064954
internal,topK20,Your TopK mixed,random,8,1,0.05,512,1,random_1,0.12434479594230648
internal,topK20,Your TopK mixed,random,8,1,0.05,512,2,random_2,0.1128405779600143
internal,topK20,Your TopK mixed,random,8,1,0.05,512,3,random_3,0.10200927704572674
internal,topK20,Your TopK mixed,random,8,1,0.05,512,4,random_4,0.10288400799036021
internal,topK20,Your TopK mixed,random,8,1,0.05,512,5,random_5,0.10165657103061672
internal,topK20,Your TopK mixed,random,8,1,0.05,512,6,random_6,0.11906985938549035
internal,topK20,Your TopK mixed,random,8,1,0.05,512,7,random_7,0.1227340996265411
internal,topK20,Your TopK mixed,random,8,1,0.05,512,8,random_8,0.1297830790281295
internal,topK20,Your TopK mixed,random,8,1,0.05,512,9,random_9,0.11396701037883754
internal,delta,Your paired delta,random,8,1,0.05,512,0,random_0,0.9516286611557007
internal,delta,Your paired delta,random,8,1,0.05,512,1,random_1,0.9822335720062256
internal,delta,Your paired delta,random,8,1,0.05,512,2,random_2,0.9296690583229065
internal,delta,Your paired delta,random,8,1,0.05,512,3,random_3,0.9808835029602051
internal,delta,Your paired delta,random,8,1,0.05,512,4,random_4,0.9510455846786499
internal,delta,Your paired delta,random,8,1,0.05,512,5,random_5,0.9742899537086487
internal,delta,Your paired delta,random,8,1,0.05,512,6,random_6,0.9137961268424988
internal,delta,Your paired delta,random,8,1,0.05,512,7,random_7,0.9827855706214905
internal,delta,Your paired delta,random,8,1,0.05,512,8,random_8,0.931434178352356
internal,delta,Your paired delta,random,8,1,0.05,512,9,random_9,0.919668996334076
internal,rand_pair,Your random-pair,random,8,1,0.05,512,0,random_0,0.11810772120952602
internal,rand_pair,Your random-pair,random,8,1,0.05,512,1,random_1,0.09356561303138726
internal,rand_pair,Your random-pair,random,8,1,0.05,512,2,random_2,0.10162234306335442
internal,rand_pair,Your random-pair,random,8,1,0.05,512,3,random_3,0.1130440533161163
internal,rand_pair,Your random-pair,random,8,1,0.05,512,4,random_4,0.1296389043331146
internal,rand_pair,Your random-pair,random,8,1,0.05,512,5,random_5,0.11147052645683284
internal,rand_pair,Your random-pair,random,8,1,0.05,512,6,random_6,0.14707452654838557
internal,rand_pair,Your random-pair,random,8,1,0.05,512,7,random_7,0.12549104690551754
internal,rand_pair,Your random-pair,random,8,1,0.05,512,8,random_8,0.11532533913850782
internal,rand_pair,Your random-pair,random,8,1,0.05,512,9,random_9,0.1123189881443977
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,0,random_0,0.13760469853878016
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,1,random_1,0.12210034877061837
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,2,random_2,0.12925560474395753
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,3,random_3,0.1259575337171554
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,4,random_4,0.13343609869480128
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,5,random_5,0.13074735999107356
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,6,random_6,0.13130759298801417
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,7,random_7,0.13759669661521906
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,8,random_8,0.1128484264016151
internal,std_L1,Your L1 mixed,random,8,2,0.05,2048,9,random_9,0.13571886420249935
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,0,random_0,0.11326068639755249
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,1,random_1,0.12334683984518047
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,2,random_2,0.13050248920917507
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,3,random_3,0.1213990524411201
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,4,random_4,0.1290125697851181
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,5,random_5,0.1317860186100006
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,6,random_6,0.141444319486618
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,7,random_7,0.11665221154689784
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,8,random_8,0.117381066083908
internal,topK20,Your TopK mixed,random,8,2,0.05,2048,9,random_9,0.12808975875377654
internal,delta,Your paired delta,random,8,2,0.05,2048,0,random_0,0.4768293917179108
internal,delta,Your paired delta,random,8,2,0.05,2048,1,random_1,0.6759289026260376
internal,delta,Your paired delta,random,8,2,0.05,2048,2,random_2,0.6183052062988281
internal,delta,Your paired delta,random,8,2,0.05,2048,3,random_3,0.6183815598487854
internal,delta,Your paired delta,random,8,2,0.05,2048,4,random_4,0.5816670775413513
internal,delta,Your paired delta,random,8,2,0.05,2048,5,random_5,0.5243840217590332
internal,delta,Your paired delta,random,8,2,0.05,2048,6,random_6,0.5822129368782043
internal,delta,Your paired delta,random,8,2,0.05,2048,7,random_7,0.44490018486976624
internal,delta,Your paired delta,random,8,2,0.05,2048,8,random_8,0.5601328492164612
