source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,delta,Your paired delta,strong,10,1.0,0.05,512.0,2,science,0.9928314328193665,,
internal,delta,Your paired delta,strong,10,1.0,0.05,512.0,3,music,0.9938047289848327,,
internal,delta,Your paired delta,strong,10,1.0,0.05,512.0,4,weather,0.9957083582878112,,
internal,delta,Your paired delta,strong,10,1.0,0.05,512.0,5,food,0.9940794348716736,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,512.0,0,sports,0.2582228362560272,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,512.0,1,technology,0.2873206377029419,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,512.0,2,science,0.3259561777114868,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,512.0,3,music,0.2607534945011139,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,512.0,4,weather,0.25429242849349976,,
internal,rand_pair,Your random-pair,strong,10,1.0,0.05,512.0,5,food,0.15840612351894373,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,2048.0,0,sports,0.22643159031867977,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,2048.0,1,technology,0.20794050097465516,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,2048.0,2,science,0.2054439038038253,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,2048.0,3,music,0.23419985473155971,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,2048.0,4,weather,0.25194423496723173,,
internal,std_L1,Your L1 mixed,strong,10,2.0,0.05,2048.0,5,food,0.16709268689155574,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,2048.0,0,sports,0.3603187203407287,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,2048.0,1,technology,0.42960113286972035,,
internal,topK20,Your TopK mixed,strong,10,2.0,0.05,2048.0,2,science,0.34255350232124326,,
