source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score
internal,rand_pair,Your random-pair,random,4,2,0.05,2048,6,random_6,0.12080586999654766
internal,rand_pair,Your random-pair,random,4,2,0.05,2048,7,random_7,0.13083293139934535
internal,rand_pair,Your random-pair,random,4,2,0.05,2048,8,random_8,0.1328600943088531
internal,rand_pair,Your random-pair,random,4,2,0.05,2048,9,random_9,0.12004830539226526
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,0,random_0,0.1100528299808502
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,1,random_1,0.1358211517333984
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,2,random_2,0.10967192202806468
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,3,random_3,0.10158718526363368
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,4,random_4,0.11837248504161832
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,5,random_5,0.11224119812250133
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,6,random_6,0.13133133947849268
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,7,random_7,0.10763231664896007
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,8,random_8,0.10673647373914716
internal,std_L1,Your L1 mixed,random,4,2,0.05,512,9,random_9,0.11685008555650707
internal,topK20,Your TopK mixed,random,4,2,0.05,512,0,random_0,0.1378005146980285
internal,topK20,Your TopK mixed,random,4,2,0.05,512,1,random_1,0.1598017275333404
internal,topK20,Your TopK mixed,random,4,2,0.05,512,2,random_2,0.11109126955270765
internal,topK20,Your TopK mixed,random,4,2,0.05,512,3,random_3,0.0943907722830772
internal,topK20,Your TopK mixed,random,4,2,0.05,512,4,random_4,0.10019063502550123
internal,topK20,Your TopK mixed,random,4,2,0.05,512,5,random_5,0.09665818661451334
internal,topK20,Your TopK mixed,random,4,2,0.05,512,6,random_6,0.11152062416076658
internal,topK20,Your TopK mixed,random,4,2,0.05,512,7,random_7,0.12115071713924404
internal,topK20,Your TopK mixed,random,4,2,0.05,512,8,random_8,0.11025215536355967
internal,topK20,Your TopK mixed,random,4,2,0.05,512,9,random_9,0.11175126284360881
internal,delta,Your paired delta,random,4,2,0.05,512,0,random_0,0.9551609873771667
internal,delta,Your paired delta,random,4,2,0.05,512,1,random_1,0.9621081352233887
internal,delta,Your paired delta,random,4,2,0.05,512,2,random_2,0.9821027994155884
internal,delta,Your paired delta,random,4,2,0.05,512,3,random_3,0.9432740449905396
internal,delta,Your paired delta,random,4,2,0.05,512,4,random_4,0.9753136754035949
internal,delta,Your paired delta,random,4,2,0.05,512,5,random_5,0.9390903353691101
internal,delta,Your paired delta,random,4,2,0.05,512,6,random_6,0.8684840083122254
internal,delta,Your paired delta,random,4,2,0.05,512,7,random_7,0.963362169265747
internal,delta,Your paired delta,random,4,2,0.05,512,8,random_8,0.9567105889320373
internal,delta,Your paired delta,random,4,2,0.05,512,9,random_9,0.8948095083236695
internal,rand_pair,Your random-pair,random,4,2,0.05,512,0,random_0,0.13304112255573272
internal,rand_pair,Your random-pair,random,4,2,0.05,512,1,random_1,0.1137191608548164
internal,rand_pair,Your random-pair,random,4,2,0.05,512,2,random_2,0.1110774531960487
internal,rand_pair,Your random-pair,random,4,2,0.05,512,3,random_3,0.10365225523710246
internal,rand_pair,Your random-pair,random,4,2,0.05,512,4,random_4,0.11102069467306133
internal,rand_pair,Your random-pair,random,4,2,0.05,512,5,random_5,0.11042474806308741
internal,rand_pair,Your random-pair,random,4,2,0.05,512,6,random_6,0.12605077922344204
internal,rand_pair,Your random-pair,random,4,2,0.05,512,7,random_7,0.09968293458223339
internal,rand_pair,Your random-pair,random,4,2,0.05,512,8,random_8,0.10348492562770836
internal,rand_pair,Your random-pair,random,4,2,0.05,512,9,random_9,0.12450904399156563
