source,condition,condition_label,direction_group,layer,seed,signal_scale,sae_latents,concept_id,concept,allocation_score,public_sae_id,best_public_latent
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,7,random_7,0.13164741694927212,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,8,random_8,0.13647084832191464,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,2048.0,9,random_9,0.13168636560440058,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,0,random_0,0.1397807449102401,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,1,random_1,0.1361128538846969,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,2,random_2,0.1134619936347007,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,3,random_3,0.1500402420759201,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,4,random_4,0.12757712006568905,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,5,random_5,0.1415756493806839,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,6,random_6,0.1225245475769043,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,7,random_7,0.12006856054067612,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,8,random_8,0.12166812121868127,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,2048.0,9,random_9,0.1229635894298553,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,0,random_0,0.5046105504035949,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,1,random_1,0.49733505249023435,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,2,random_2,0.569036853313446,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,3,random_3,0.5498383283615113,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,4,random_4,0.48628644943237304,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,5,random_5,0.48686243295669557,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,6,random_6,0.4954921007156372,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,7,random_7,0.533327829837799,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,8,random_8,0.5699675798416137,,
internal,delta,Your paired delta,random,10,1.0,0.05,2048.0,9,random_9,0.5528070211410523,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,0,random_0,0.14701725840568539,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,1,random_1,0.12250763177871701,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,2,random_2,0.12776362597942345,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,3,random_3,0.12894845902919766,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,4,random_4,0.13119049072265623,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,5,random_5,0.11913417279720302,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,6,random_6,0.12542390227317807,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,7,random_7,0.1274171859025955,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,8,random_8,0.13018273711204525,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,2048.0,9,random_9,0.12682932615280149,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,0,random_0,0.09793382138013837,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,1,random_1,0.11860530823469155,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,2,random_2,0.12523267269134516,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,3,random_3,0.12037206441164013,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,4,random_4,0.12653401196002959,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,5,random_5,0.09373539090156549,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,6,random_6,0.13979198634624476,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,7,random_7,0.09711937755346292,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,8,random_8,0.11829383373260494,,
internal,std_L1,Your L1 mixed,random,10,1.0,0.05,512.0,9,random_9,0.11407271027564996,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,0,random_0,0.14849244058132166,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,1,random_1,0.11662057787179943,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,2,random_2,0.10897881090641018,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,3,random_3,0.148465695977211,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,4,random_4,0.1166747838258743,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,5,random_5,0.10891101062297817,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,6,random_6,0.12427216619253154,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,7,random_7,0.11365909874439235,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,8,random_8,0.1168929263949394,,
internal,topK20,Your TopK mixed,random,10,1.0,0.05,512.0,9,random_9,0.10940476506948467,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,0,random_0,0.9551141262054443,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,1,random_1,0.98125661611557,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,2,random_2,0.9432133555412292,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,3,random_3,0.9334143042564392,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,4,random_4,0.9851959228515625,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,5,random_5,0.9504741668701172,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,6,random_6,0.9716850042343139,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,7,random_7,0.9699638962745667,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,8,random_8,0.9867938399314881,,
internal,delta,Your paired delta,random,10,1.0,0.05,512.0,9,random_9,0.9239032983779907,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,0,random_0,0.12960554063320157,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,1,random_1,0.13244187533855437,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,2,random_2,0.09601985216140743,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,3,random_3,0.13156855106353754,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,4,random_4,0.09843402057886118,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,5,random_5,0.09055161774158473,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,6,random_6,0.12399027347564695,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,7,random_7,0.1288186609745025,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,8,random_8,0.10530664920806879,,
internal,rand_pair,Your random-pair,random,10,1.0,0.05,512.0,9,random_9,0.11444448977708813,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,0,random_0,0.13011068403720855,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,1,random_1,0.1241255864500999,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,2,random_2,0.11919774115085598,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,3,random_3,0.14131900370120998,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,4,random_4,0.14702167510986325,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,5,random_5,0.11845668554306026,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,6,random_6,0.12908770442008968,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,7,random_7,0.1323714345693588,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,8,random_8,0.1204298615455627,,
internal,std_L1,Your L1 mixed,random,10,2.0,0.05,2048.0,9,random_9,0.13189255297183988,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,0,random_0,0.1327694803476333,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,1,random_1,0.12539126873016354,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,2,random_2,0.12316573113203041,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,3,random_3,0.128958785533905,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,4,random_4,0.1342069268226623,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,5,random_5,0.1291469037532806,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,6,random_6,0.11609641760587688,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,7,random_7,0.10836145579814908,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,8,random_8,0.13705717027187347,,
internal,topK20,Your TopK mixed,random,10,2.0,0.05,2048.0,9,random_9,0.1458176225423813,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,0,random_0,0.47025238871574404,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,1,random_1,0.5769062876701355,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,2,random_2,0.5839977025985718,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,3,random_3,0.5563054800033569,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,4,random_4,0.5012873530387878,,
internal,delta,Your paired delta,random,10,2.0,0.05,2048.0,5,random_5,0.5438338041305542,,
